Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2006;0,6;0,5;0,5;2,468;2,468;1,276;1,276;0,5;0,55;1,276;1,276;1,204;1,132;0,988;0,55;0,55;0,6;2,468;2,468;2,468;1,42;0,844;0,7;1,276;0,65;1,06;0,65;0,772;0,772;0,772;1,42
01/02/2006;0,65;0,7;0,7;1,42;1,42;2,47;1,42;1,35;2,47;1,35;1,35;0,525;0,5;1,13;1,28;1,13;0,988;0,988;0,45;0,7;1,68;1,2;1,28;1,42;0,988;0,772;0,5;0,5;;;
01/03/2006;1,204;1,06;0,675;1,348;0,65;1,06;1,276;1,204;1,132;1,204;0,675;0,55;0,575;0,625;0,65;0,65;0,844;1,204;0,5;4,9625;2,075;2,337;3,7875;3,67;3,905;4,375;4,0225;4,7275;11,4;14,16;14,48
01/04/2006;7,992;5,788;5,08;4,61;4,375;4,14;3,67;3,67;2,73;4,14;3,67;3,67;3,67;1,682;1,42;0,844;3,435;3,5525;3,2;3,67;4,0225;3,905;2,73;3,435;3,7875;2,965;1,312;2,965;3,2;2,6645;
01/05/2006;1,42;2,96;1,68;1,55;0,675;0,6;0,475;0,772;1,68;2,6;3,2;2,73;0,7;0,6;1,94;2,47;2,21;2,21;0,675;0,5;0,45;0,475;1,68;1,28;1,13;0,65;0,575;0,5;0,772;0,916;0,587
01/06/2006;0,613;0,6;0,575;0,587;0,55;1,2;1,13;0,988;1,06;0,844;0,88;0,844;0,916;0,916;0,625;0,844;2,34;1,28;0,65;0,65;0,6;0,6;0,65;0,7;0,45;4,61;2,73;0,988;0,65;0,844;
01/07/2006;1,68;1,13;0,844;0,65;0,65;0,65;0,65;0,65;0,575;0,625;0,65;0,6;0,575;0,7;1,81;1,06;1,2;1,28;1,35;1,2;1,55;1,28;0,65;0,844;0,844;0,844;0,772;0,772;0,7;0,6;0,675
01/08/2006;1,28;1,28;1,2;1,28;0,65;0,625;0,625;0,625;0,844;1,13;1,13;1,28;0,675;1,2;1,28;24,9;13,5;16,1;13,8;10,2;8,54;6,26;5,32;4,49;4,14;4,02;2,96;2,21;4,14;3,55;3,9
01/09/2006;4,61;13,7;17,9;12,6;9,37;7,2;6,5;6,26;5,55;6,5;7,44;7,09;5,91;5,08;4,61;4,61;3,67;5,08;4,49;4,84;7,2;8,27;6,97;6,73;5,79;5,08;5,08;4,61;4,38;4,14;
01/10/2006;4,38;5,55;5,08;4,61;4,61;5,55;5,08;4,96;5,32;4,14;4,38;4,73;4,61;4,49;4,14;4,14;4,14;4,61;4,61;4,61;4,38;4,49;4,38;3,9;3,9;4,14;4,02;3,67;1,62;3,67;3,67
