Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/06/1944;;;;;;;;;;;;;;;;;;;;;;;;;;;10,0885;9,6858;9,6858;9,2923;
01/07/1944;9,6858;9,2923;8,9081;8,9081;22,6504;22,6504;12,7019;11,7929;10,0885;10,5006;10,9219;10,0885;10,0885;9,6858;9,2923;9,2923;9,2923;9,2923;8,9081;8,9081;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,533
01/08/1944;8,533;10,0885;10,0885;9,2923;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,533;8,1669;7,81;7,81;7,81;7,81;7,81;7,81;8,533;8,533;8,1669;7,81;7,81;7,462;7,462;8,533;10,9219;15,1429;34,2973
01/09/1944;14,6352;10,9219;10,0885;9,2923;9,2923;9,6858;18,9735;24,6279;14,1374;11,7929;10,0885;9,2923;9,2923;9,2923;8,9081;8,9081;8,9081;8,533;8,533;8,533;8,533;8,1669;8,1669;8,1669;8,533;9,2923;9,2923;8,1669;7,81;7,81;
01/10/1944;7,81;7,462;7,123;7,462;7,81;7,81;7,81;7,462;7,81;7,462;7,123;7,462;11,7929;17,272;13,1707;10,0885;8,9081;8,533;7,81;7,462;7,462;7,123;6,7928;6,7928;6,7928;10,0885;9,6858;8,533;8,1669;8,1669;7,81
01/11/1944;7,123;7,123;9,2923;9,6858;8,1669;7,81;17,272;42,9869;20,1583;12,7019;11,7929;9,2923;14,1374;15,1429;20,7659;13,1707;12,2426;9,6858;8,9081;8,9081;8,533;8,1669;9,6858;9,2923;13,1707;28,1334;15,6603;13,1707;10,9219;7,81;
01/12/1944;8,9081;8,9081;8,9081;8,9081;8,9081;8,533;7,81;7,81;7,462;7,462;7,462;6,7928;6,7928;6,7928;6,4715;6,4715;6,4715;7,123;6,7928;6,7928;6,7928;7,81;7,81;9,2923;7,81;7,462;7,462;7,123;7,462;7,462;6,7928
01/01/1945;7,81;7,123;7,123;6,4715;6,159;6,159;6,159;6,159;6,159;6,159;5,56;5,56;5,56;5,56;5,2735;5,2735;5,2735;5,2735;5,2735;6,7928;8,1669;7,462;6,4715;5,8552;8,1669;7,81;8,533;12,7019;15,1429;10,9219;20,1583
01/02/1945;15,1429;9,2923;8,1669;7,462;7,123;7,462;7,81;8,9081;9,6858;14,1374;8,9081;8,533;7,81;7,462;6,7928;13,6492;22,6504;24,6279;28,8663;47,0288;16,7249;16,7249;14,6352;18,9735;15,1429;62,1796;74,8554;23,9583;;;
01/03/1945;21,3838;32,6915;24,6279;16,1877;16,1877;14,6352;14,1374;14,6352;10,0885;10,9219;10,9219;10,5006;10,0885;10,0885;14,1374;10,9219;11,3527;10,9219;10,0885;15,6603;16,7249;10,9219;9,2923;8,9081;10,0885;11,7929;10,0885;9,6858;8,9081;8,533;8,1669
01/04/1945;8,1669;7,81;7,81;9,6858;9,6858;8,533;8,1669;8,1669;7,81;52,0709;68,0899;73,163;31,1291;25,3079;22,0119;14,6352;14,1374;12,7019;11,7929;15,6603;14,1374;13,1707;11,7929;11,3527;11,3527;10,9219;10,0885;10,0885;11,3527;13,6492;
